partnumber,description,created_at,project,drawing_no,userid,status
2609150194,Housing,2011-11-04 09:08:13 UTC,Housing MF,2609100788,tah1pg2,reserved
2609150195,Housing,2011-11-21 10:10:22 UTC,"EMC, Striker1",2605105134,tah1pg2,reserved
2609150196,Compound Paper Strip_Thing Thing,2011-11-29 04:04:16 UTC,Stator,26099N6826,fps1pg2,reserved
2609150197,GSS 230/23AE,2011-12-06 04:33:06 UTC,GSS 230/23AE,2609150197,tsy1pg2,reserved
2609150198,GSS 140A,2011-12-06 04:33:36 UTC,GSS 140A,2609150198,tsy1pg2,reserved
2609150199,GSS 140A,2011-12-06 04:34:00 UTC,GSS 140A,2609150199,tsy1pg2,reserved
2609150200,GEX 125,2011-12-06 04:37:46 UTC,GEX 125,2609150200,tsy1pg2,reserved
2609150201,GEX 125,2011-12-06 04:38:17 UTC,GEX 125,2609150201,tsy1pg2,reserved
2609150202,PHO 1,2011-12-06 04:38:40 UTC,PHO 1,2609150202,tsy1pg2,reserved
2609150203,GHO/ PHO 3100,2011-12-06 04:38:59 UTC,GHO/ PHO 3100,2609150203,tsy1pg2,reserved
2609150204,GHO,2011-12-06 04:39:28 UTC,GHO,2609150204,tsy1pg2,reserved
2609150205,GSB10/13RE/ GBM13/13RE/10/10RE,2011-12-06 04:39:53 UTC,GSB10/13RE/ GBM13/13RE/10/10RE,2609150205,tsy1pg2,reserved
2609150206,GSB10/13RE,2011-12-06 04:40:19 UTC,GSB10/13RE,2609150206,tsy1pg2,reserved
2609150207,GBM 6/6RE,2011-12-06 04:40:44 UTC,GBM 6/6RE,2609150207,tsy1pg2,reserved
2609150208,GBM10/10RE,2011-12-06 04:41:05 UTC,GBM10/10RE,2609150208,tsy1pg2,reserved
2609150209,DC Motor,2011-12-21 06:53:09 UTC,Destroyer2 SPIT,2609150209,mkp1pg2,reserved
2609150210,DC motor,2011-12-21 06:54:07 UTC,Destroyer2 SPIT,2609150210,mkp1pg2,reserved
2609150211,Guiderail,2012-01-27 02:09:26 UTC,030070,2605190873,gsc1pg2,reserved
2609150212,Guiderail,2012-01-27 02:09:57 UTC,030070,2605190880,gsc1pg2,reserved
2609150213,Guiderail,2012-01-27 02:10:27 UTC,030070,2605190873,gsc1pg2,reserved
2609150214,Guiderail,2012-01-27 02:10:54 UTC,030070,2605190880,gsc1pg2,reserved
2609150215,Guiderail,2012-01-27 02:11:19 UTC,030070,2605190880,gsc1pg2,reserved
2609150216,Battery Set,2012-02-01 01:25:47 UTC,030070,2607336077,gsc1pg2,reserved
2609150217,Battery Set,2012-02-01 01:27:34 UTC,030070,2607336091,gsc1pg2,reserved
2609150218,Battery Set,2012-02-01 01:27:54 UTC,030070,2607336149,gsc1pg2,reserved
2609150219,Battery Set,2012-02-01 01:28:16 UTC,030070,2607336559,gsc1pg2,reserved
2609150220,Battery Set,2012-02-01 01:28:33 UTC,030070,2607336091,gsc1pg2,reserved
2609150221,Battery Set,2012-02-01 01:28:52 UTC,030070,2607336559,gsc1pg2,reserved
2609150222,HOUSING COVER,2012-02-03 02:55:59 UTC,030070,2605190592,gsc1pg2,reserved
2609150223,HOUSING COVER,2012-02-03 02:56:39 UTC,030070,2605190593,gsc1pg2,reserved
2609150224,BATTERY SET,2012-02-03 02:57:42 UTC,030070,2607336013,gsc1pg2,reserved
2609150225,BATTERY SET,2012-02-03 02:58:06 UTC,030070,2607336013,gsc1pg2,reserved
2609150226,BATTERY SET,2012-02-03 02:58:22 UTC,030070,2607336013,gsc1pg2,reserved
2609150227,Battery Pack,2012-02-20 04:13:41 UTC,030070,2607336013,gsc1pg2,reserved
